date_of_stay,trip_type,date_of_review,review,review_title,nationality
Stayed 2 nights in March 2016,Family with teens,"Reviewed September 23, 2016",Good,Good”,lamganda from Indonesia
Stayed 4 nights in July 2016,Family with young children,"Reviewed September 23, 2016","If you are going to singapore for a holiday then this hotel has the best location. Room is nice, modern and clean. Only the price is not so friendly. ",good location for holiday”,Eric from Indonesia
Stayed 2 nights in August 2016,Family with young children,"Reviewed September 23, 2016","Very happy with our stay, would definitely stay again. Very clean and good staff",Great location and great facilities”,Nyean from Australia
Stayed 2 nights in September 2016,Business traveler,"Reviewed September 22, 2016","The hotel is located at a very convenient place. We do satisfy with the hotel facilities, location and staff. Will choose again in the future.",Satisfied Stay”,Phuc from Vietnam
Stayed 3 nights in December 2015,Solo traveler,"Reviewed September 21, 2016",good location and value for money,good location and value for money”,Marlinda from Indonesia
Stayed 2 nights in November 2015,Solo traveler,"Reviewed September 21, 2016",good location and value for money,good location and value for money”,Marlinda from Indonesia
Stayed 2 nights in April 2016,Couple,"Reviewed September 21, 2016",good location and value for money,good location and value for money”,Marlinda from Indonesia
Stayed 2 nights in June 2016,Business traveler,"Reviewed September 20, 2016",good good good good ,good good ”,Bate-Erdene from Mongolia
Stayed 4 nights in September 2016,Family with young children,"Reviewed September 18, 2016",Very good,Good”,Dayu from Indonesia
Stayed 2 nights in September 2016,Couple,"Reviewed September 18, 2016",great location and convenient for shopping . free unlimited mobile handy phone to call .,good location and friendly staff”,Surya from Indonesia
Stayed 2 nights in September 2016,Solo traveler,"Reviewed September 17, 2016","2 mins to 313 somerset, 2 to MRT, surrounded by great food, great shopping. One of my most favourites hotel in SG.",Great location.”,Tuan from Australia
Stayed 3 nights in September 2016,Family with young children,"Reviewed September 16, 2016","Location, Breakfast is good. Most important and interesting, they have a mobile that can used for International Calling and is FREE!!!","Location, Breakfast, wifi and FREE Mobile Calling to several contries”",LOW from Singapore
Stayed 3 nights in September 2016,Couple,"Reviewed September 16, 2016","Clean Room, Breakfast Good and excellent location for Window Shopping.","Location, LoCation and Location”",LOW from Singapore
Stayed 2 nights in September 2016,Couple,"Reviewed September 16, 2016","Clean Room, Breakfast good and excellent location for window shopping.","Location, location, location”",LOW from Singapore
Stayed 2 nights in September 2016,Business traveler,"Reviewed September 16, 2016","As a regular customer to this Hotel, Mandarin Orchard will always be my preferred hotel.",Convenient and good located Hotel”,Felina from Indonesia
Stayed 4 nights in September 2016,Family with young children,"Reviewed September 16, 2016","Very good location and helpful staff, will definitely stay again.",Very good location”,Jennifer from Brunei Darussalam
Stayed 3 nights in September 2016,Couple,"Reviewed September 15, 2016","Everything is good
",Clean and comfort”,Sebastianus from Indonesia
Stayed 2 nights in August 2016,Business traveler,"Reviewed September 15, 2016",Surrounded by shops and restaurants,Good location”,Fenny from Singapore
Stayed 1 night in August 2016,Family with teens,"Reviewed September 14, 2016","It's really close to MRT station, shopping malls, you can find high end and affordable restaurant around. ",The location is perfect and convenient for a short stay!”,Henny from Indonesia
Stayed 3 nights in September 2016,Family with young children,"Reviewed September 13, 2016","the best, surprisingly the rates is OK when I visit Singapore this time.
& they give me late checked out (until 1 PM) without additional cost, unlike other mean hotel","my kind of hotel, I stayed here whenever I travel Singapore”",Robert from Indonesia
Stayed 2 nights in September 2016,Family with teens,"Reviewed September 13, 2016",Location is near shopping center in orchard. And also near al falah mosque.,Good location”,Dodo from Indonesia
Stayed 2 nights in September 2016,Family with teens,"Reviewed September 13, 2016",It is located close to shopping centers and there are a variety of restaurants in the area to choose from,"Very good location, very friendly staff”",Eduardo from Philippines
Stayed 3 nights in September 2016,Family with teens,"Reviewed September 13, 2016",The hotel is located strategically in the midst of Orchard Road. The hotel also connected with Mandarin Gallery where customers can have a fancy shopping and dining.  ,Hotel with Superb Location”,Felix from Indonesia
Stayed 1 night in July 2016,Family with young children,"Reviewed September 11, 2016","strategic location, in the middle along orchard shopping malls",strategic location”,Tan from Malaysia
Stayed 3 nights in August 2016,Family with young children,"Reviewed September 08, 2016",-,holiday”,Julia from Indonesia
Stayed 2 nights in August 2016,Couple,"Reviewed September 07, 2016",will visiting again,good service”,huy from Cambodia
Stayed 1 night in August 2016,Business traveler,"Reviewed September 07, 2016","The location is just perfect, very comfort hotel and professional service.","Perfect location, and hi class service”",SAWATKORN from Thailand
Stayed 2 nights in September 2016,Family with teens,"Reviewed September 07, 2016","Bersih, lokasi strategis, nyaman ",lokasi strategis ”,christine from Indonesia
Stayed 3 nights in December 2015,Family with young children,"Reviewed September 07, 2016",good,ok”,Makdalena from Indonesia
Stayed 1 night in August 2016,Couple,"Reviewed September 06, 2016","got upgraded which is nice, breakfast was good",Nothing to complain”,TONY from Indonesia
Stayed 2 nights in September 2016,Couple,"Reviewed September 06, 2016",The price is high but overall is ok,Nice”,Riyanto from Indonesia
Stayed 2 nights in June 2016,Family with teens,"Reviewed September 06, 2016",great,great”,SEIANG from Malaysia
Stayed 2 nights in June 2016,Family with teens,"Reviewed September 06, 2016",great,great”,SEIANG from Malaysia
Stayed 3 nights in June 2016,Couple,"Reviewed September 05, 2016","Location Perfect, Room comfort, Breakfast at Chatterbox just ok.",Perfect Location”,Yovanka from Indonesia
Stayed 2 nights in June 2016,Family with teens,"Reviewed September 04, 2016",recommended hotel :),nice one!”,boots from Philippines
Stayed 3 nights in August 2016,Solo traveler,"Reviewed September 04, 2016",good one...,nice!”,boots from Philippines
Stayed 2 nights in August 2016,Couple,"Reviewed September 04, 2016","Drop box check out, very helpfull","Drop box check out, very helpfull”",Yohanes from Indonesia
Stayed 4 nights in July 2016,Couple,"Reviewed September 03, 2016",very good location,very good location”,Rezaul from Bangladesh
Stayed 2 nights in March 2016,Business traveler,"Reviewed September 02, 2016",Great breakfast,Nice location”,mustari from Indonesia
Stayed 1 night in August 2016,Couple,"Reviewed September 02, 2016","Lokasi strategis, bersih & nyaman ",bersih ”,christine from Indonesia
Stayed 2 nights in July 2016,Business traveler,"Reviewed August 30, 2016",Very nice hotel with great location !,Excellent hotel !”,Vinh from Vietnam
Stayed 2 nights in May 2016,Family with teens,"Reviewed August 30, 2016",My go to hotel in Singapore! Location right beside takashimaya. Easy walking distance to ion and tangs. Close to MRT station. Good sized room.,Location and breakfast variety”,Nurul from Brunei Darussalam
Stayed 2 nights in June 2016,Business traveler,"Reviewed August 29, 2016",good location,"good location, comfy bed”",Tawatchai from Thailand
Stayed 3 nights in August 2016,Family with teens,"Reviewed August 29, 2016","this is probably the best hotel in term of quality, location & price in Singapore. my first choice of hotel if I stay overnight in Singapore.",great location fine hotel”,Robert from Indonesia
Stayed 3 nights in August 2016,Family with teens,"Reviewed August 29, 2016",very convenient,Good location”,Lidya from Indonesia
Stayed 4 nights in August 2016,Family with young children,"Reviewed August 28, 2016","Clean, comfort, nice service",good stay”,Felix from Indonesia
Stayed 1 night in August 2016,Family with young children,"Reviewed August 28, 2016","Clean, comfort, nice service",good stay”,Felix from Indonesia
Stayed 2 nights in August 2016,Solo traveler,"Reviewed August 28, 2016",Great hotel at the central of Orchard Road.  Walking distance to all the malls.,Nice Hotel”,Putra from Malaysia
Stayed 1 night in December 2015,Solo traveler,"Reviewed August 26, 2016","This was my first time at Mandarin Orchard, and the staff were extremely helpful.  Will stay there again in future.","Excellent hotel, excellent location, excellent staff”",Kumarie from Sri Lanka
Stayed 2 nights in August 2016,Couple,"Reviewed August 25, 2016",Ok ok ok hotel,Location good”,Budi from Indonesia
Stayed 2 nights in July 2016,Family with young children,"Reviewed August 21, 2016","Is very nice hotel, the food is the best...I will come to visit agin",My best hotel ”,LIM from Malaysia
Stayed 1 night in August 2016,Solo traveler,"Reviewed August 21, 2016","In the heart of ORCHARD
location could no be wrong",exactly in Orchard”,Enrico from Indonesia
Stayed 1 night in August 2016,Solo traveler,"Reviewed August 21, 2016",location + orchard nothing more to fuss about,perfect location”,Enrico from Indonesia
Stayed 2 nights in July 2016,Family with young children,"Reviewed August 20, 2016","Location is near Takashimaya  and other shopping mall.
Good facility and meals.",Great located hotel”,Trang from Vietnam
Stayed 1 night in July 2016,Family with young children,"Reviewed August 20, 2016","The location is the best point for this hotel.
I also like the restaurant with great buffet menu.",Great location ”,Trang from Vietnam
Stayed 1 night in August 2016,Business traveler,"Reviewed August 19, 2016",Prime location in the heart of Orchard.,Good Location”,Fenny from Singapore
Stayed 2 nights in August 2016,Solo traveler,"Reviewed August 18, 2016",Everything is GOOD,I love this hotel”,Yelena from Indonesia
